author_id,发布作品数,总获赞,总播放,作品平均时长,去过城市数,首发日期,末次发布,创作天数,创作活跃度(日均发布)
155,32,2,658975547,12.659090909090908,1,2019-09-25,2019-10-29,35,0.9142857142857143
156,12,1,379569601,7.111940298507463,1,2019-10-15,2019-10-29,15,0.8
158,1,0,15637932,10.0,1,2019-10-27,2019-10-27,1,1.0
159,24,2,540430191,9.04639175257732,1,2019-09-30,2019-10-29,30,0.8
162,4,1,98056895,9.857142857142858,1,2019-10-24,2019-10-28,5,0.8
164,2,0,552943722,7.045226130653266,1,2019-10-14,2019-10-22,9,0.2222222222222222
167,74,8,1611786959,9.472072072072072,1,2019-09-25,2019-10-30,36,2.0555555555555554
168,1,0,6717011,7.0,1,2019-10-18,2019-10-18,1,1.0
172,1,1,569379580,10.0,1,2019-10-27,2019-10-27,1,1.0
175,2,0,58811698,20.476190476190474,1,2019-10-06,2019-10-28,23,0.08695652173913043
176,2,0,46100862,25.705882352941178,1,2019-10-02,2019-10-26,25,0.08
178,14,1,222609419,8.35,1,2019-10-11,2019-10-29,19,0.7368421052631579
179,2,0,8420144,6.0,1,2019-10-23,2019-10-27,5,0.4
180,1,0,1927518,10.0,1,2019-10-06,2019-10-06,1,1.0
182,16,7,749991216,10.328125,1,2019-10-18,2019-10-30,13,1.2307692307692308
186,1,0,6075776,10.0,1,2019-10-24,2019-10-24,1,1.0
188,1,0,53988989,21.0,1,2019-10-27,2019-10-27,1,1.0
191,3,3,1339370580,7.707983193277311,1,2019-10-12,2019-10-29,18,0.16666666666666666
192,19,7,667798391,13.893805309734514,1,2019-10-10,2019-10-28,19,1.0
193,30,1,463018679,11.701986754966887,1,2019-09-25,2019-10-29,35,0.8571428571428571
194,21,1,207064752,9.074626865671641,1,2019-10-05,2019-10-29,25,0.84
195,2,1,344962011,6.055045871559633,1,2019-10-08,2019-10-26,19,0.10526315789473684
198,4,16,4074335353,9.994841562269713,1,2019-10-23,2019-10-29,7,0.5714285714285714
202,4,1,80106794,22.11111111111111,1,2019-10-20,2019-10-27,8,0.5
203,3,0,22579923,9.25,1,2019-09-24,2019-10-17,24,0.125
204,2,0,11723098,7.666666666666667,1,2019-10-09,2019-10-24,16,0.125
205,3,0,18127166,9.8,1,2019-09-29,2019-10-17,19,0.15789473684210525
209,12,2,113227266,12.694444444444445,1,2019-09-24,2019-10-24,31,0.3870967741935484
210,1,2,220405878,6.0,1,2019-10-28,2019-10-28,1,1.0
211,32,1,1263473186,10.008988764044943,1,2019-09-24,2019-10-30,37,0.8648648648648649
213,12,0,184129166,9.140625,1,2019-10-10,2019-10-30,21,0.5714285714285714
215,31,2,697337645,12.863453815261044,1,2019-09-24,2019-10-29,36,0.8611111111111112
217,11,0,68943394,15.571428571428571,1,2019-10-02,2019-10-28,27,0.4074074074074074
218,1,0,79141907,15.0,2,2019-10-23,2019-10-23,1,1.0
219,29,11,3204989853,17.383561643835616,1,2019-09-24,2019-10-30,37,0.7837837837837838
220,2,0,59446498,9.047619047619047,1,2019-10-16,2019-10-26,11,0.18181818181818182
221,15,2,597327955,10.909547738693467,1,2019-10-03,2019-10-29,27,0.5555555555555556
223,14,1,257453587,21.078651685393258,1,2019-09-26,2019-10-27,32,0.4375
224,2,0,86841922,9.606060606060606,1,2019-10-29,2019-10-30,2,1.0
225,3,1,29971962,9.625,1,2019-09-27,2019-10-14,18,0.16666666666666666
226,28,0,298072218,15.174757281553399,2,2019-10-16,2019-10-29,14,2.0
227,2,0,17893633,8.4,1,2019-10-07,2019-10-10,4,0.5
230,2,0,14918912,6.333333333333333,1,2019-10-23,2019-10-24,2,1.0
233,2,0,4002397,8.5,1,2019-10-07,2019-10-08,2,1.0
236,13,4,926558756,9.55,1,2019-10-25,2019-10-29,5,2.6
237,1,0,4572622,2.0,1,2019-09-23,2019-09-23,1,1.0
238,1,0,148524229,3.0,1,2019-10-20,2019-10-20,1,1.0
239,10,0,48254985,10.5625,1,2019-09-24,2019-10-29,36,0.2777777777777778
241,2,0,5337892,9.0,1,2019-10-28,2019-10-29,2,1.0
245,6,0,479277146,16.866242038216562,1,2019-10-04,2019-10-29,26,0.23076923076923078
246,17,2,95327857,9.121212121212121,1,2019-10-01,2019-10-28,28,0.6071428571428571
247,4,0,10409634,15.0,1,2019-10-21,2019-10-30,10,0.4
248,1,0,596171590,11.0,1,2019-10-23,2019-10-23,1,1.0
250,6,0,198324551,9.267605633802816,1,2019-09-26,2019-10-27,32,0.1875
251,3,0,32303907,8.4,1,2019-10-07,2019-10-23,17,0.17647058823529413
253,52,0,876020629,10.19281045751634,1,2019-09-24,2019-10-30,37,1.4054054054054055
260,8,2,399148457,10.573426573426573,1,2019-10-18,2019-10-28,11,0.7272727272727273
261,1,0,225562932,21.0,1,2019-10-26,2019-10-26,1,1.0
263,2,0,19635015,12.857142857142858,2,2019-10-07,2019-10-21,15,0.13333333333333333
264,18,0,704432807,7.340080971659919,1,2019-09-25,2019-10-29,35,0.5142857142857142
267,9,2,362552755,11.85,1,2019-10-04,2019-10-29,26,0.34615384615384615
268,25,7,2949406581,8.6935960591133,1,2019-09-21,2019-10-28,38,0.6578947368421053
269,3,0,16092842,9.2,1,2019-10-15,2019-10-27,13,0.23076923076923078
270,12,2,324374195,10.069230769230769,1,2019-09-22,2019-10-25,34,0.35294117647058826
272,2,0,5234653,9.5,1,2019-10-27,2019-10-28,2,1.0
273,3,0,17245255,12.285714285714286,1,2019-09-26,2019-10-11,16,0.1875
274,6,1,301146637,9.587155963302752,1,2019-09-23,2019-10-28,36,0.16666666666666666
277,1,0,5305957,9.0,1,2019-10-18,2019-10-18,1,1.0
278,1,0,5099552,9.0,1,2019-10-29,2019-10-29,1,1.0
279,1,0,970805896,9.0,1,2019-10-27,2019-10-27,1,1.0
281,27,2,742209760,9.929133858267717,1,2019-09-22,2019-10-23,32,0.84375
286,31,0,674761489,9.469298245614034,1,2019-09-22,2019-10-29,38,0.8157894736842105
292,16,1,502671664,12.895061728395062,1,2019-10-24,2019-10-29,6,2.6666666666666665
295,53,2,672917628,10.280701754385966,4,2019-10-07,2019-10-30,24,2.2083333333333335
296,11,0,52048157,10.5,1,2019-10-05,2019-10-28,24,0.4583333333333333
298,2,0,96776425,6.911764705882353,1,2019-10-25,2019-10-27,3,0.6666666666666666
300,1,0,7117450,10.0,1,2019-10-26,2019-10-26,1,1.0
301,5,0,12577910,7.75,1,2019-10-01,2019-10-10,10,0.5
302,2,1,178779380,9.0,1,2019-10-02,2019-10-21,20,0.1
303,13,0,150644474,11.115384615384615,1,2019-10-05,2019-10-27,23,0.5652173913043478
304,1,0,8547703,10.0,1,2019-10-07,2019-10-07,1,1.0
305,1,0,3079120,21.0,1,2019-10-18,2019-10-18,1,1.0
309,18,4,3148293792,11.01908396946565,1,2019-09-25,2019-10-30,36,0.5
310,2,0,268666337,12.784090909090908,1,2019-10-11,2019-10-14,4,0.5
312,1,0,2672938,7.0,1,2019-10-29,2019-10-29,1,1.0
314,4,6,629559541,11.634615384615385,1,2019-10-10,2019-10-29,20,0.2
316,13,1,114964752,10.058823529411764,2,2019-09-22,2019-10-29,38,0.34210526315789475
319,45,3,1242539779,10.620437956204379,1,2019-09-25,2019-10-29,35,1.2857142857142858
320,9,2,1006700163,9.865497076023392,1,2019-10-06,2019-10-28,23,0.391304347826087
321,27,0,288649352,10.186813186813186,1,2019-10-21,2019-10-29,9,3.0
323,1,0,218087651,21.0,1,2019-10-27,2019-10-27,1,1.0
324,5,5,1713646840,8.68566493955095,3,2019-10-19,2019-10-28,10,0.5
327,3,0,33975989,18.90909090909091,1,2019-10-04,2019-10-13,10,0.3
328,1,0,7542627,10.0,1,2019-10-27,2019-10-27,1,1.0
329,7,0,96810862,7.46875,1,2019-10-17,2019-10-29,13,0.5384615384615384
330,7,0,165938304,10.842105263157896,1,2019-09-26,2019-10-27,32,0.21875
331,1,0,3014133,7.0,1,2019-10-05,2019-10-05,1,1.0
336,4,0,15547411,8.833333333333334,1,2019-09-30,2019-10-30,31,0.12903225806451613
338,1,3,963696317,10.0,1,2019-10-23,2019-10-23,1,1.0
339,6,1,742526785,37.85992217898833,1,2019-10-16,2019-10-29,14,0.42857142857142855
340,12,3,308083511,8.36,1,2019-09-28,2019-10-29,32,0.375
341,5,1,756697766,8.12890625,1,2019-10-26,2019-10-30,5,1.0
342,19,2,173652506,11.153846153846153,5,2019-09-29,2019-10-29,31,0.6129032258064516
343,1,1,258148480,6.0,1,2019-10-27,2019-10-27,1,1.0
345,7,2,92713641,18.20689655172414,2,2019-10-12,2019-10-23,12,0.5833333333333334
347,20,1,250064356,8.623529411764705,1,2019-09-26,2019-10-29,34,0.5882352941176471
349,5,0,13160878,10.25,1,2019-10-16,2019-10-29,14,0.35714285714285715
353,5,1,966617053,20.74454828660436,1,2019-10-13,2019-10-29,17,0.29411764705882354
357,1,0,3841199,9.0,1,2019-10-24,2019-10-24,1,1.0
358,9,0,400419376,10.095238095238095,1,2019-09-26,2019-10-28,33,0.2727272727272727
359,13,0,184483831,8.82857142857143,1,2019-09-26,2019-10-26,31,0.41935483870967744
360,6,0,28047510,11.8,1,2019-10-09,2019-10-27,19,0.3157894736842105
365,1,0,2505275,10.0,1,2019-10-17,2019-10-17,1,1.0
366,13,0,45267313,13.5625,1,2019-10-12,2019-10-29,18,0.7222222222222222
370,11,1,131409843,7.9772727272727275,1,2019-09-30,2019-10-30,31,0.3548387096774194
372,1,0,3881952,9.0,1,2019-10-10,2019-10-10,1,1.0
375,12,1,73489332,10.185185185185185,2,2019-10-22,2019-10-29,8,1.5
378,1,1,530756131,11.0,1,2019-10-27,2019-10-27,1,1.0
381,1,0,1850114,19.0,1,2019-10-05,2019-10-05,1,1.0
383,11,0,180342174,11.518518518518519,1,2019-10-07,2019-10-25,19,0.5789473684210527
384,1,0,4348014,10.0,1,2019-10-27,2019-10-27,1,1.0
385,22,0,739981087,15.71031746031746,1,2019-09-29,2019-10-29,31,0.7096774193548387
386,1,0,6825792,10.0,1,2019-10-05,2019-10-05,1,1.0
389,1,0,11374440,9.0,1,2019-10-27,2019-10-27,1,1.0
391,12,9,2002737228,33.275494672754945,1,2019-09-22,2019-10-29,38,0.3157894736842105
393,1,0,34431255,9.0,1,2019-10-20,2019-10-20,1,1.0
394,19,0,111731723,10.743589743589743,1,2019-10-18,2019-10-29,12,1.5833333333333333
395,23,2,1247670447,10.577830188679245,1,2019-09-24,2019-10-29,36,0.6388888888888888
397,1,1,957144093,7.0,1,2019-10-27,2019-10-27,1,1.0
401,1,0,5384346,11.0,1,2019-10-27,2019-10-27,1,1.0
402,27,2,1042699162,11.211267605633802,2,2019-09-23,2019-10-28,36,0.75
406,2,0,94498130,8.393939393939394,1,2019-10-16,2019-10-22,7,0.2857142857142857
408,4,6,1865319341,10.050691244239632,1,2019-09-30,2019-10-20,21,0.19047619047619047
409,18,0,71968300,10.0,1,2019-10-01,2019-10-30,30,0.6
411,25,3,1294932792,10.435483870967742,1,2019-09-25,2019-10-29,35,0.7142857142857143
417,1,0,246907696,21.0,1,2019-10-27,2019-10-27,1,1.0
418,17,0,108890591,14.311111111111112,1,2019-09-25,2019-10-29,35,0.4857142857142857
419,32,7,2653636076,7.780487804878049,2,2019-09-24,2019-10-30,37,0.8648648648648649
423,1,0,5207131,9.0,1,2019-10-10,2019-10-10,1,1.0
424,4,0,364478209,18.84426229508197,1,2019-10-01,2019-10-25,25,0.16
425,16,12,1001570662,9.319277108433734,1,2019-09-25,2019-10-28,34,0.47058823529411764
426,1,0,21550908,7.0,1,2019-10-25,2019-10-25,1,1.0
427,14,0,339704661,9.298387096774194,1,2019-09-26,2019-10-27,32,0.4375
428,81,10,2718817428,10.379530916844349,1,2019-09-24,2019-10-29,36,2.25
431,1,0,18566473,9.0,1,2019-10-22,2019-10-22,1,1.0
434,3,1,26435832,8.833333333333334,1,2019-10-05,2019-10-27,23,0.13043478260869565
435,10,0,109800525,9.311111111111112,1,2019-10-12,2019-10-28,17,0.5882352941176471
438,2,0,38236787,10.0,1,2019-10-15,2019-10-17,3,0.6666666666666666
441,2,0,821583317,3.0413793103448277,1,2019-10-21,2019-10-25,5,0.4
442,1,0,37650768,10.0,1,2019-10-21,2019-10-21,1,1.0
444,19,0,145825487,8.727272727272727,1,2019-10-15,2019-10-29,15,1.2666666666666666
445,22,3,389363256,9.852713178294573,1,2019-10-01,2019-10-28,28,0.7857142857142857
446,1,0,10369675,9.0,1,2019-10-27,2019-10-27,1,1.0
448,1,0,103568947,10.0,1,2019-10-27,2019-10-27,1,1.0
450,1,0,18265608,4.0,1,2019-10-22,2019-10-22,1,1.0
451,4,0,83953168,8.88888888888889,1,2019-10-27,2019-10-30,4,1.0
453,29,1,1522133747,8.93574297188755,1,2019-10-07,2019-10-30,24,1.2083333333333333
455,1,0,3907395,6.0,1,2019-10-12,2019-10-12,1,1.0
457,10,0,207012454,8.835820895522389,1,2019-10-03,2019-10-27,25,0.4
461,2,0,150965490,7.043478260869565,1,2019-10-20,2019-10-24,5,0.4
463,1,0,5196478,8.0,1,2019-10-11,2019-10-11,1,1.0
468,16,2,2466798580,8.254924681344148,1,2019-09-22,2019-10-27,36,0.4444444444444444
469,1,0,55023024,39.0,1,2019-10-24,2019-10-24,1,1.0
471,1,0,4606526,10.0,1,2019-10-22,2019-10-22,1,1.0
472,28,0,385994420,9.056737588652481,1,2019-09-25,2019-10-30,36,0.7777777777777778
475,32,2,319247622,10.277777777777779,1,2019-10-13,2019-10-30,18,1.7777777777777777
478,3,0,22205431,8.285714285714286,1,2019-09-28,2019-10-03,6,0.5
481,7,0,70211507,8.814814814814815,1,2019-09-28,2019-10-27,30,0.23333333333333334
482,44,1,633402958,11.488372093023257,1,2019-09-28,2019-10-30,33,1.3333333333333333
483,8,3,240654889,10.662162162162161,8,2019-10-12,2019-10-29,18,0.4444444444444444
487,1,0,2651865,9.0,1,2019-10-25,2019-10-25,1,1.0
489,4,0,31979594,8.666666666666666,1,2019-09-27,2019-10-28,32,0.125
491,31,2,847408496,15.116438356164384,1,2019-09-24,2019-10-29,36,0.8611111111111112
496,2,0,18379390,19.166666666666668,1,2019-10-19,2019-10-23,5,0.4
498,21,0,302901529,16.931372549019606,1,2019-09-25,2019-10-27,33,0.6363636363636364
499,1,1,55587363,9.0,1,2019-10-27,2019-10-27,1,1.0
502,8,0,34280450,12.923076923076923,1,2019-10-11,2019-10-26,16,0.5
503,7,0,82848744,9.764705882352942,1,2019-09-26,2019-10-29,34,0.20588235294117646
504,14,7,731512332,20.03968253968254,1,2019-10-15,2019-10-29,15,0.9333333333333333
510,3,0,7816777,9.75,1,2019-10-27,2019-10-29,3,1.0
511,23,0,408310082,9.347826086956522,1,2019-10-11,2019-10-30,20,1.15
512,1,0,4635075,10.0,1,2019-10-24,2019-10-24,1,1.0
520,8,1,244556304,10.068965517241379,1,2019-10-22,2019-10-28,7,1.1428571428571428
522,9,2,184615447,11.194029850746269,1,2019-10-02,2019-10-26,25,0.36
526,1,0,3304064,8.0,1,2019-10-28,2019-10-28,1,1.0
528,28,0,244624135,15.7,1,2019-09-26,2019-10-27,32,0.875
530,1,0,23678052,9.0,1,2019-10-13,2019-10-13,1,1.0
536,33,1,418255399,9.170370370370371,3,2019-09-24,2019-10-29,36,0.9166666666666666
543,1,1,4187621,10.0,1,2019-10-22,2019-10-22,1,1.0
544,1,0,8572307,7.0,1,2019-10-20,2019-10-20,1,1.0
550,2,2,212585068,8.029411764705882,1,2019-10-28,2019-10-29,2,1.0
551,2,1,97240829,6.315789473684211,1,2019-10-28,2019-10-29,2,1.0
554,2,0,3709611,9.5,1,2019-10-20,2019-10-26,7,0.2857142857142857
557,1,0,1952198,7.0,1,2019-10-27,2019-10-27,1,1.0
558,1,2,322882965,6.0,1,2019-10-26,2019-10-26,1,1.0
559,1,0,2345024,9.0,1,2019-10-19,2019-10-19,1,1.0
560,3,0,12702230,12.0,1,2019-09-21,2019-10-29,39,0.07692307692307693
561,1,0,3198518,11.0,1,2019-10-22,2019-10-22,1,1.0
562,42,12,2629899464,12.824401368301027,1,2019-09-22,2019-10-30,39,1.0769230769230769
563,12,1,318360594,26.87704918032787,2,2019-09-29,2019-10-26,28,0.42857142857142855
570,1,1,220339310,7.0,1,2019-10-24,2019-10-24,1,1.0
572,2,12,2467429263,9.0,1,2019-10-28,2019-10-30,3,0.6666666666666666
575,4,1,77285774,8.931034482758621,1,2019-09-29,2019-10-13,15,0.26666666666666666
576,6,0,95293345,7.903225806451613,1,2019-10-19,2019-10-29,11,0.5454545454545454
577,6,0,53596762,9.0,1,2019-10-02,2019-10-27,26,0.23076923076923078
579,41,1,938548922,10.063291139240507,2,2019-09-25,2019-10-29,35,1.1714285714285715
581,2,1,30510476,9.9,1,2019-10-23,2019-10-25,3,0.6666666666666666
582,5,0,16311255,7.833333333333333,1,2019-10-21,2019-10-25,5,1.0
583,1,0,6484101,10.0,1,2019-10-22,2019-10-22,1,1.0
585,29,0,306111140,11.105263157894736,1,2019-09-26,2019-10-26,31,0.9354838709677419
586,3,0,61821017,9.6,1,2019-10-05,2019-10-29,25,0.12
591,1,0,11604632,7.0,1,2019-09-28,2019-09-28,1,1.0
593,10,2,394361182,10.763358778625955,2,2019-10-06,2019-10-29,24,0.4166666666666667
595,2,0,41674966,9.705882352941176,2,2019-09-23,2019-10-27,35,0.05714285714285714
596,7,0,355435125,12.256410256410257,2,2019-10-12,2019-10-27,16,0.4375
597,5,0,175263673,9.705882352941176,2,2019-10-21,2019-10-29,9,0.5555555555555556
600,2,0,5842017,8.5,1,2019-09-24,2019-10-07,14,0.14285714285714285
603,24,3,246417070,12.977272727272727,1,2019-10-02,2019-10-29,28,0.8571428571428571
604,2,0,20938229,9.375,1,2019-10-24,2019-10-28,5,0.4
605,1,15,3790921597,10.0,1,2019-10-27,2019-10-27,1,1.0
606,45,0,1425236315,13.467948717948717,1,2019-09-25,2019-10-30,36,1.25
608,7,0,46123587,11.333333333333334,3,2019-10-01,2019-10-13,13,0.5384615384615384
609,3,4,4578001104,23.00662251655629,1,2019-09-29,2019-10-21,23,0.13043478260869565
613,5,0,106831619,10.0,1,2019-10-13,2019-10-30,18,0.2777777777777778
617,1,0,165113272,10.0,1,2019-10-25,2019-10-25,1,1.0
618,20,1,726597561,10.629032258064516,1,2019-09-30,2019-10-30,31,0.6451612903225806
621,1,0,648190,9.0,1,2019-10-14,2019-10-14,1,1.0
622,4,0,236313352,6.378048780487805,1,2019-10-14,2019-10-28,15,0.26666666666666666
624,29,0,222098269,10.545454545454545,1,2019-09-26,2019-10-30,35,0.8285714285714286
625,26,2,422424092,10.794520547945206,1,2019-10-15,2019-10-30,16,1.625
626,26,0,138272003,11.133333333333333,1,2019-09-24,2019-10-27,34,0.7647058823529411
630,13,2,436665232,10.046979865771812,1,2019-09-30,2019-10-30,31,0.41935483870967744
632,1,2,2073300712,11.0,1,2019-10-27,2019-10-27,1,1.0
638,1,0,289250953,32.0,1,2019-10-28,2019-10-28,1,1.0
639,1,0,7174422,9.0,1,2019-10-27,2019-10-27,1,1.0
640,1,0,1609089,11.0,1,2019-10-30,2019-10-30,1,1.0
643,3,0,6526834,16.333333333333332,1,2019-10-13,2019-10-28,16,0.1875
644,9,1,442074685,9.38255033557047,1,2019-09-30,2019-10-25,26,0.34615384615384615
647,1,2,389062614,10.0,1,2019-10-01,2019-10-01,1,1.0
648,34,0,565985659,9.51063829787234,1,2019-10-16,2019-10-29,14,2.4285714285714284
649,13,2,88166517,11.793103448275861,1,2019-10-08,2019-10-27,20,0.65
653,1,0,5882472,10.0,1,2019-10-21,2019-10-21,1,1.0
654,12,2,950556494,7.19435736677116,1,2019-09-24,2019-10-28,35,0.34285714285714286
656,1,0,1977675,9.0,1,2019-10-03,2019-10-03,1,1.0
659,15,0,148665523,26.43859649122807,2,2019-10-13,2019-10-28,16,0.9375
660,2,0,7101903,10.0,1,2019-10-28,2019-10-28,1,2.0
661,7,0,64583555,22.36,1,2019-10-07,2019-10-29,23,0.30434782608695654
662,1,0,7732328,22.0,1,2019-10-29,2019-10-29,1,1.0
663,3,1,220973786,10.337662337662337,4,2019-09-28,2019-10-16,19,0.15789473684210525
664,2,0,4433748,9.666666666666666,1,2019-10-12,2019-10-29,18,0.1111111111111111
665,2,0,14749936,7.0,1,2019-10-24,2019-10-25,2,1.0
671,41,2,823854194,9.331058020477816,1,2019-09-27,2019-10-28,32,1.28125
672,1,0,5673223,9.0,1,2019-10-15,2019-10-15,1,1.0
673,4,0,62148763,9.444444444444445,1,2019-10-06,2019-10-21,16,0.25
676,23,3,1089554336,8.727513227513228,1,2019-10-13,2019-10-28,16,1.4375
678,27,1,503714677,9.416184971098266,1,2019-09-22,2019-10-29,38,0.7105263157894737
679,14,0,101501674,7.25,1,2019-09-29,2019-10-28,30,0.4666666666666667
