uid,总浏览量,总点赞数,观看作品数,观看城市数,完播作品数,常看背景音乐,完播率,平均点赞率
48,539916507,0,182,1,85,110.0,0.46703296703296704,0.0
49,139477233,0,50,1,6,33.0,0.12,0.0
50,17783050,0,7,1,3,22.0,0.42857142857142855,0.0
51,427244991,0,142,1,33,22.0,0.2323943661971831,0.0
52,397340040,0,147,1,19,22.0,0.1292517006802721,0.0
53,1325776664,1,450,1,127,220.0,0.2822222222222222,7.542748542449832e-10
54,427792860,1,156,1,35,220.0,0.22435897435897437,2.3375799212731134e-09
55,37507638,0,11,2,3,59.0,0.2727272727272727,0.0
56,93417979,0,34,1,18,110.0,0.5294117647058824,0.0
57,164315205,0,54,1,14,811.0,0.25925925925925924,0.0
58,7788127,0,3,1,3,22.0,1.0,0.0
59,634756105,0,226,1,108,22.0,0.4778761061946903,0.0
60,104064674,0,36,1,13,789.0,0.3611111111111111,0.0
61,43781981,0,22,1,8,22.0,0.36363636363636365,0.0
62,191248143,0,62,1,12,68.0,0.1935483870967742,0.0
63,129391162,0,42,1,22,30.0,0.5238095238095238,0.0
64,601109015,0,194,1,59,708.0,0.30412371134020616,0.0
65,568465623,0,187,1,93,22.0,0.49732620320855614,0.0
66,472177793,0,159,1,87,22.0,0.5471698113207547,0.0
67,151387081,0,53,1,33,115.0,0.6226415094339622,0.0
68,355572692,0,120,1,31,22.0,0.25833333333333336,0.0
69,344746941,0,107,1,19,242.0,0.17757009345794392,0.0
70,82101483,0,27,1,9,220.0,0.3333333333333333,0.0
71,236983818,0,70,1,7,220.0,0.1,0.0
72,596799028,0,210,1,135,220.0,0.6428571428571429,0.0
73,34061408,0,8,1,3,762.0,0.375,0.0
74,56242756,0,21,1,12,57.0,0.5714285714285714,0.0
75,51636515,0,18,1,1,110.0,0.05555555555555555,0.0
76,2364842,0,1,1,1,431.0,1.0,0.0
77,103974852,0,30,1,6,68.0,0.2,0.0
78,410354310,0,134,1,23,220.0,0.17164179104477612,0.0
79,128257683,4,38,2,15,22.0,0.39473684210526316,3.1187215505834456e-08
80,1823851619,1,614,1,71,22.0,0.11563517915309446,5.482902170234058e-10
81,42268109,0,15,2,7,22.0,0.4666666666666667,0.0
82,196899255,0,73,1,34,22.0,0.4657534246575342,0.0
83,67853251,0,30,1,20,22.0,0.6666666666666666,0.0
84,343635124,1,118,1,27,22.0,0.2288135593220339,2.9100634078372034e-09
85,30381919,0,7,1,4,60.0,0.5714285714285714,0.0
86,54467729,0,15,1,9,68.0,0.6,0.0
87,116723490,0,44,1,31,4130.0,0.7045454545454546,0.0
88,98199434,0,30,1,8,246.0,0.26666666666666666,0.0
89,486668854,0,171,1,78,220.0,0.45614035087719296,0.0
90,68946628,0,20,1,6,25.0,0.3,0.0
91,153680807,0,59,1,23,22.0,0.3898305084745763,0.0
92,536637519,3,190,1,40,68.0,0.21052631578947367,5.590365738106359e-09
93,497410697,1,153,1,61,220.0,0.39869281045751637,2.0104111271253982e-09
94,64750720,0,23,1,15,25.0,0.6521739130434783,0.0
95,126022019,34,46,1,30,25.0,0.6521739130434783,2.697941222477954e-07
96,58010842,0,27,1,12,22.0,0.4444444444444444,0.0
97,79130352,2,22,1,12,22.0,0.5454545454545454,2.5274751716003994e-08
98,410320715,2,145,3,56,68.0,0.38620689655172413,4.8742359985408e-09
99,512082843,0,171,1,88,416.0,0.5146198830409356,0.0
100,1243427,0,2,1,0,592.0,0.0,0.0
101,43295016,0,18,1,12,220.0,0.6666666666666666,0.0
102,1612218792,0,559,1,54,22.0,0.09660107334525939,0.0
103,161111378,0,51,2,39,220.0,0.7647058823529411,0.0
104,17387599,0,5,3,2,59.0,0.4,0.0
105,476333319,0,166,2,45,220.0,0.2710843373493976,0.0
106,84655730,0,34,1,8,220.0,0.23529411764705882,0.0
107,22038940,0,7,1,5,33.0,0.7142857142857143,0.0
108,219700534,3,72,1,23,22.0,0.3194444444444444,1.3654950879636916e-08
109,368939458,0,117,1,40,413.0,0.3418803418803419,0.0
110,954878770,0,315,1,18,220.0,0.05714285714285714,0.0
111,101167766,0,34,1,3,22.0,0.08823529411764706,0.0
112,117169354,0,38,2,7,22.0,0.18421052631578946,0.0
113,81388853,1,27,1,11,59.0,0.4074074074074074,1.2286694837682502e-08
114,231603316,20,78,1,12,22.0,0.15384615384615385,8.635454943140796e-08
115,59928725,0,24,2,9,110.0,0.375,0.0
116,224701748,0,71,1,28,468.0,0.39436619718309857,0.0
117,18243696,0,8,2,8,68.0,1.0,0.0
118,335034964,1,102,1,46,220.0,0.45098039215686275,2.984763106694739e-09
119,341822652,0,108,1,56,22.0,0.5185185185185185,0.0
120,351317911,0,131,4,21,68.0,0.16030534351145037,0.0
121,85795790,0,34,3,13,218.0,0.38235294117647056,0.0
122,243916653,0,94,1,30,22.0,0.3191489361702128,0.0
123,11645454,0,3,1,2,74.0,0.6666666666666666,0.0
124,114713471,0,38,3,9,762.0,0.23684210526315788,0.0
125,1682954308,1,578,1,284,22.0,0.4913494809688581,5.941931965986566e-10
126,392061010,0,138,1,37,8.0,0.26811594202898553,0.0
127,390225282,0,128,1,41,29449.0,0.3203125,0.0
128,331991584,0,110,1,33,43.0,0.3,0.0
129,1117044810,1,375,8,83,22.0,0.22133333333333333,8.952192347592573e-10
130,690304947,1,227,1,66,68.0,0.2907488986784141,1.448635134871777e-09
131,201403178,2,64,1,7,5.0,0.109375,9.93032989777351e-09
132,319441711,0,106,1,55,25.0,0.5188679245283019,0.0
133,164029135,0,53,1,17,68.0,0.32075471698113206,0.0
134,618033156,0,217,2,54,22.0,0.2488479262672811,0.0
135,21110734,0,7,1,4,22.0,0.5714285714285714,0.0
136,47528446,0,12,1,6,35.0,0.5,0.0
137,111355482,0,33,1,17,22.0,0.5151515151515151,0.0
138,464741076,0,147,1,89,1078.0,0.6054421768707483,0.0
139,51636195,0,15,1,9,8.0,0.6,0.0
140,81312188,0,28,1,15,25.0,0.5357142857142857,0.0
141,38341881,0,14,1,7,7.0,0.5,0.0
142,353691973,0,115,1,32,22.0,0.2782608695652174,0.0
143,320302773,0,103,1,16,25.0,0.1553398058252427,0.0
144,95982487,0,33,1,11,68.0,0.3333333333333333,0.0
145,194281000,46,68,1,8,22.0,0.11764705882352941,2.3677045104770925e-07
146,759947026,0,251,1,43,143.0,0.17131474103585656,0.0
147,429426373,0,149,6,16,220.0,0.10738255033557047,0.0
148,302022406,0,90,1,23,220.0,0.25555555555555554,0.0
149,217267098,0,69,1,39,25.0,0.5652173913043478,0.0
150,103078325,2,38,1,12,22.0,0.3157894736842105,1.9402721183139133e-08
151,56895709,0,22,1,15,22.0,0.6818181818181818,0.0
152,48166984,0,17,1,7,25.0,0.4117647058823529,0.0
153,10203699,0,2,1,1,133.0,0.5,0.0
154,82424964,0,24,1,12,22.0,0.5,0.0
155,1130752715,0,384,1,110,25.0,0.2864583333333333,0.0
156,118714707,0,35,1,1,25.0,0.02857142857142857,0.0
157,120284628,0,42,1,19,22.0,0.4523809523809524,0.0
158,24577826,0,11,1,7,22.0,0.6363636363636364,0.0
159,67819844,0,23,1,15,22.0,0.6521739130434783,0.0
160,604918521,0,197,1,30,22.0,0.15228426395939088,0.0
162,251729917,0,82,1,45,110.0,0.5487804878048781,0.0
163,187301398,0,64,1,40,220.0,0.625,0.0
164,92167190,0,34,1,6,29.0,0.17647058823529413,0.0
165,1080846319,4,375,1,135,63.0,0.36,3.7008036477385645e-09
166,26906892,0,13,1,7,110.0,0.5384615384615384,0.0
167,82001193,0,37,1,21,68.0,0.5675675675675675,0.0
168,137260820,10,45,1,24,68.0,0.5333333333333333,7.285400160074813e-08
169,342689687,0,120,1,25,220.0,0.20833333333333334,0.0
170,318066746,0,111,3,22,22.0,0.1981981981981982,0.0
171,106625003,0,40,2,24,166.0,0.6,0.0
172,36845903,0,11,1,8,82.0,0.7272727272727273,0.0
173,344912503,0,120,2,43,22.0,0.35833333333333334,0.0
174,36063644,0,13,1,8,8.0,0.6153846153846154,0.0
175,68224824,0,21,1,9,22.0,0.42857142857142855,0.0
176,372094097,0,121,2,4,220.0,0.03305785123966942,0.0
177,488927256,0,170,1,92,22.0,0.5411764705882353,0.0
178,132378704,4,47,1,36,220.0,0.7659574468085106,3.02163405376744e-08
179,435021988,0,147,1,42,220.0,0.2857142857142857,0.0
180,59793719,3,24,2,12,410.0,0.5,5.017249387013375e-08
181,58813149,0,19,1,11,8.0,0.5789473684210527,0.0
182,172087281,0,58,2,22,220.0,0.3793103448275862,0.0
183,543012704,0,181,2,76,33.0,0.4198895027624309,0.0
184,127490228,0,48,1,21,33.0,0.4375,0.0
185,116914116,0,39,1,12,312.0,0.3076923076923077,0.0
186,58483808,0,20,1,4,25.0,0.2,0.0
187,255158262,0,85,1,16,22.0,0.18823529411764706,0.0
188,467256305,0,161,2,70,25.0,0.43478260869565216,0.0
189,187177473,0,77,1,17,33.0,0.22077922077922077,0.0
190,385153900,0,141,1,77,22.0,0.5460992907801419,0.0
191,117616577,1,42,1,20,667.0,0.47619047619047616,8.502202882506944e-09
192,229934628,0,83,3,39,25.0,0.46987951807228917,0.0
193,173569122,0,56,1,27,220.0,0.48214285714285715,0.0
195,134152411,0,45,1,23,220.0,0.5111111111111111,0.0
196,786784499,1,261,1,64,22.0,0.24521072796934865,1.2709960621631413e-09
197,59624106,1,22,1,4,22.0,0.18181818181818182,1.6771739940218138e-08
198,172132712,0,57,1,34,506.0,0.5964912280701754,0.0
199,47139582,0,14,2,9,288.0,0.6428571428571429,0.0
200,651706183,0,219,4,30,22.0,0.136986301369863,0.0
201,197492754,0,73,1,28,25.0,0.3835616438356164,0.0
202,81996870,0,29,2,12,30.0,0.41379310344827586,0.0
203,7738377,0,3,1,0,53.0,0.0,0.0
204,38693940,0,16,1,11,24.0,0.6875,0.0
205,125648483,1,44,1,12,708.0,0.2727272727272727,7.958711288221442e-09
206,138444186,3,53,1,21,416.0,0.39622641509433965,2.1669382345893527e-08
207,363876639,0,127,1,18,22.0,0.14173228346456693,0.0
208,254308725,0,85,1,9,33.0,0.10588235294117647,0.0
209,375876655,0,129,1,42,22.0,0.32558139534883723,0.0
210,149112027,0,51,1,30,22.0,0.5882352941176471,0.0
211,67022012,0,28,1,21,22.0,0.75,0.0
212,106147109,0,40,1,6,7.0,0.15,0.0
213,6857959,0,2,1,1,1178.0,0.5,0.0
214,87911022,0,27,1,17,220.0,0.6296296296296297,0.0
215,185661919,0,58,1,26,22.0,0.4482758620689655,0.0
216,229072946,0,84,2,6,22.0,0.07142857142857142,0.0
217,40026297,0,15,1,8,25.0,0.5333333333333333,0.0
218,314163690,0,106,1,38,1297.0,0.3584905660377358,0.0
219,119388668,0,44,1,22,22.0,0.5,0.0
220,533197990,3,195,1,80,68.0,0.41025641025641024,5.626427811552703e-09
221,435764127,1,148,1,29,22.0,0.19594594594594594,2.29481946319092e-09
222,193220584,0,65,1,23,174.0,0.35384615384615387,0.0
223,11375177,0,4,1,2,33.0,0.5,0.0
224,40005093,0,17,3,5,76.0,0.29411764705882354,0.0
225,2328575443,0,777,2,53,708.0,0.0682110682110682,0.0
226,45237587,0,13,1,1,220.0,0.07692307692307693,0.0
228,252113541,0,79,3,38,57.0,0.4810126582278481,0.0
229,55282801,0,20,1,17,8.0,0.85,0.0
230,77184133,0,28,1,21,6.0,0.75,0.0
231,221131062,0,71,1,27,22.0,0.38028169014084506,0.0
232,124011228,0,43,1,21,762.0,0.4883720930232558,0.0
233,74407264,0,28,2,19,58.0,0.6785714285714286,0.0
234,143441364,0,58,1,23,114.0,0.39655172413793105,0.0
235,562494293,0,193,1,67,22.0,0.3471502590673575,0.0
236,100315344,0,34,1,22,220.0,0.6470588235294118,0.0
237,137499535,0,51,2,15,57.0,0.29411764705882354,0.0
238,169197445,0,64,1,38,22.0,0.59375,0.0
239,1043428206,0,353,1,90,22.0,0.254957507082153,0.0
240,666244130,0,235,1,78,22.0,0.33191489361702126,0.0
241,27199279,0,11,1,7,46.0,0.6363636363636364,0.0
242,474010441,1,160,1,104,22.0,0.65,2.1096581710106255e-09
243,513958531,1,162,1,60,174.0,0.37037037037037035,1.9456822675057417e-09
244,281871818,0,98,1,46,22.0,0.46938775510204084,0.0
245,367225730,2,127,1,39,220.0,0.30708661417322836,5.446241471151817e-09
246,208584606,0,77,1,12,22.0,0.15584415584415584,0.0
247,296409250,0,100,1,24,22.0,0.24,0.0
248,40077636,0,15,2,9,33.0,0.6,0.0
249,456095526,0,153,1,79,22.0,0.5163398692810458,0.0
250,315934359,0,96,2,58,595.0,0.6041666666666666,0.0
251,231794014,0,82,1,17,22.0,0.2073170731707317,0.0
252,60411213,0,16,1,14,166.0,0.875,0.0
253,90736413,1,33,1,13,22.0,0.3939393939393939,1.1020933789833636e-08
254,216892886,0,73,1,29,22.0,0.3972602739726027,0.0
255,401400159,0,133,1,64,22.0,0.48120300751879697,0.0
256,255086495,0,90,1,43,68.0,0.4777777777777778,0.0
257,29848471,0,8,1,2,208.0,0.25,0.0
258,233632728,0,85,2,29,238.0,0.3411764705882353,0.0
259,150782709,0,53,1,14,22.0,0.2641509433962264,0.0
260,14255605,0,6,1,5,280.0,0.8333333333333334,0.0
261,642928300,0,226,1,52,68.0,0.23008849557522124,0.0
262,21138286,0,8,1,1,68.0,0.125,0.0
263,9250639,0,4,1,4,25.0,1.0,0.0
264,127247094,5,42,2,19,22.0,0.4523809523809524,3.929362819083318e-08
265,142329386,0,42,1,28,220.0,0.6666666666666666,0.0
266,37243366,0,16,3,4,111.0,0.25,0.0
267,61137819,0,21,1,11,33.0,0.5238095238095238,0.0
268,171168620,2,54,1,34,220.0,0.6296296296296297,1.1684384672844824e-08
269,122599107,0,42,1,24,305.0,0.5714285714285714,0.0
270,261986769,0,91,1,46,25.0,0.5054945054945055,0.0
271,191447109,0,63,1,23,22.0,0.36507936507936506,0.0
272,55274884,0,19,1,13,220.0,0.6842105263157895,0.0
273,115956550,0,42,1,19,762.0,0.4523809523809524,0.0
274,1981079049,0,686,2,104,220.0,0.15160349854227406,0.0
275,703396259,0,238,1,65,68.0,0.27310924369747897,0.0
276,462751542,0,152,1,23,220.0,0.1513157894736842,0.0
277,106226342,0,35,1,1,68.0,0.02857142857142857,0.0
278,112232295,0,45,1,17,22.0,0.37777777777777777,0.0
279,66600489,0,26,1,5,22.0,0.19230769230769232,0.0
280,330628285,0,107,1,66,512.0,0.616822429906542,0.0
281,219894902,1,77,1,37,1098.0,0.4805194805194805,4.547627029570699e-09
282,26815323,0,12,1,7,22.0,0.5833333333333334,0.0
283,310515106,1,111,1,32,22.0,0.2882882882882883,3.220455239301627e-09
284,631260763,0,212,4,120,22.0,0.5660377358490566,0.0
285,72226298,0,25,1,7,33.0,0.28,0.0
286,562128205,0,185,1,77,22.0,0.41621621621621624,0.0
287,86242018,0,31,2,14,220.0,0.45161290322580644,0.0
288,97738730,0,37,1,13,8.0,0.35135135135135137,0.0
289,113675659,0,40,1,20,73.0,0.5,0.0
290,134666307,0,46,1,25,220.0,0.5434782608695652,0.0
291,156614520,0,57,1,40,280.0,0.7017543859649122,0.0
292,38284866,0,13,1,3,53.0,0.23076923076923078,0.0
293,579605991,0,196,1,99,22.0,0.5051020408163265,0.0
294,188351353,10,66,2,46,22.0,0.696969696969697,5.309226528359475e-08
295,948685949,1,319,1,62,220.0,0.19435736677115986,1.0540896078982614e-09
296,19245975,0,6,1,0,250.0,0.0,0.0
297,203611643,1,67,1,34,22.0,0.5074626865671642,4.91131049907593e-09
298,600517756,0,188,1,80,220.0,0.425531914893617,0.0
299,108778635,0,35,1,19,220.0,0.5428571428571428,0.0
300,50252366,0,19,1,7,22.0,0.3684210526315789,0.0
301,343755695,1,125,1,12,220.0,0.096,2.909042714186888e-09
302,127605263,0,45,1,22,8.0,0.4888888888888889,0.0
303,28029767,0,6,1,3,499.0,0.5,0.0
304,39511304,0,12,1,4,237.0,0.3333333333333333,0.0
305,308966685,0,107,1,12,57.0,0.11214953271028037,0.0
306,58956872,0,19,1,5,68.0,0.2631578947368421,0.0
307,64311656,0,24,1,14,726.0,0.5833333333333334,0.0
308,21401703,0,9,1,6,43.0,0.6666666666666666,0.0
309,264663175,0,90,2,14,22.0,0.15555555555555556,0.0
310,9184880,0,3,1,2,864.0,0.6666666666666666,0.0
311,332911365,0,113,1,38,22.0,0.336283185840708,0.0
312,87139724,0,28,1,14,22.0,0.5,0.0
313,235643490,0,76,1,12,22.0,0.15789473684210525,0.0
314,178429207,0,65,1,34,220.0,0.5230769230769231,0.0
315,25941088,0,9,1,5,115.0,0.5555555555555556,0.0
316,43540434,0,22,1,11,21.0,0.5,0.0
317,186651350,0,63,1,19,68.0,0.30158730158730157,0.0
318,131666637,0,42,1,6,220.0,0.14285714285714285,0.0
319,210719623,0,69,1,20,22.0,0.2898550724637681,0.0
320,99240031,1,35,1,21,25.0,0.6,1.007657887571599e-08
321,91174073,0,28,1,23,5784.0,0.8214285714285714,0.0
322,241503841,0,78,2,48,220.0,0.6153846153846154,0.0
323,406245367,0,127,1,50,110.0,0.3937007874015748,0.0
324,139591091,1,44,1,21,220.0,0.4772727272727273,7.1637809607777905e-09
325,70472001,0,21,1,14,8.0,0.6666666666666666,0.0
326,281954999,0,92,1,48,250.0,0.5217391304347826,0.0
327,73788932,0,21,1,3,93.0,0.14285714285714285,0.0
328,140343642,0,48,1,21,220.0,0.4375,0.0
329,4329846,0,1,1,0,216.0,0.0,0.0
330,59134838,0,17,2,10,25.0,0.5882352941176471,0.0
331,519756990,0,175,1,41,22.0,0.2342857142857143,0.0
332,340991007,0,107,1,45,220.0,0.4205607476635514,0.0
333,297217639,0,103,1,46,1111.0,0.44660194174757284,0.0
334,232392830,0,84,1,33,22.0,0.39285714285714285,0.0
335,51648459,0,19,1,13,86.0,0.6842105263157895,0.0
336,123022106,1,35,1,23,22.0,0.6571428571428571,8.128620396077433e-09
337,572383012,0,192,1,18,22.0,0.09375,0.0
338,76336618,0,26,1,11,129.0,0.4230769230769231,0.0
339,520697189,0,168,1,43,815.0,0.25595238095238093,0.0
340,99069390,0,39,1,34,39.0,0.8717948717948718,0.0
341,222391273,1,74,1,40,22.0,0.5405405405405406,4.4965793239557564e-09
342,242046081,1,81,1,17,603.0,0.20987654320987653,4.131444706183861e-09
343,319830308,0,114,1,30,30.0,0.2631578947368421,0.0
344,105428286,1,39,1,19,166.0,0.48717948717948717,9.485120530177262e-09
345,289992065,3,108,1,67,7.0,0.6203703703703703,1.0345110649837953e-08
346,89286872,0,31,1,11,220.0,0.3548387096774194,0.0
347,618062460,0,224,4,50,22.0,0.22321428571428573,0.0
348,155644551,0,52,1,21,220.0,0.40384615384615385,0.0
349,104426339,0,30,2,12,220.0,0.4,0.0
350,556962107,0,175,1,71,22.0,0.4057142857142857,0.0
351,135541513,0,43,1,15,22.0,0.3488372093023256,0.0
352,52047104,0,15,3,6,375.0,0.4,0.0
353,10543321,0,3,1,3,7.0,1.0,0.0
354,1333327228,0,458,1,223,416.0,0.4868995633187773,0.0
355,6743654,0,3,1,3,456.0,1.0,0.0
356,71785089,0,26,1,14,12.0,0.5384615384615384,0.0
357,10145986,0,4,1,3,298.0,0.75,0.0
358,157598612,0,55,1,46,1888.0,0.8363636363636363,0.0
359,100472927,0,30,1,10,22.0,0.3333333333333333,0.0
360,186343691,3,59,1,17,416.0,0.288135593220339,1.6099283983808176e-08
361,73428003,0,27,1,16,22.0,0.5925925925925926,0.0
362,74952945,0,24,1,5,22.0,0.20833333333333334,0.0
363,185369574,2,59,1,31,166.0,0.5254237288135594,1.0789257140980429e-08
364,920732559,0,322,1,103,22.0,0.3198757763975155,0.0
365,467977392,0,163,4,52,22.0,0.31901840490797545,0.0
366,138087748,0,50,7,19,1517.0,0.38,0.0
367,96254213,0,35,1,25,762.0,0.7142857142857143,0.0
368,26238920,0,8,1,4,62.0,0.5,0.0
369,189144461,0,56,1,27,220.0,0.48214285714285715,0.0
370,545215113,0,182,2,59,25.0,0.3241758241758242,0.0
372,247549979,0,90,2,29,22.0,0.32222222222222224,0.0
373,634574340,0,224,1,16,22.0,0.07142857142857142,0.0
374,36569113,0,10,1,5,22.0,0.5,0.0
375,90087905,1,28,1,17,25.0,0.6071428571428571,1.1100269231480075e-08
376,50305347,0,21,1,10,33.0,0.47619047619047616,0.0
377,63647483,0,27,1,15,22.0,0.5555555555555556,0.0
378,17902963,0,5,1,2,199.0,0.4,0.0
379,329736065,16,113,1,30,43.0,0.26548672566371684,4.8523657853441054e-08
380,123882093,4,40,2,17,22234.0,0.425,3.228876670658123e-08
381,77897485,0,24,1,16,220.0,0.6666666666666666,0.0
382,336750490,0,114,1,28,220.0,0.24561403508771928,0.0
383,62099561,0,21,1,7,22.0,0.3333333333333333,0.0
384,1403827568,0,460,1,101,220.0,0.21956521739130436,0.0
385,452068231,0,148,2,34,22.0,0.22972972972972974,0.0
386,236977415,0,82,1,10,218.0,0.12195121951219512,0.0
387,138401688,8,48,1,30,1202.0,0.625,5.7802763214853274e-08
388,223658965,0,73,1,30,468.0,0.410958904109589,0.0
389,184310449,0,58,1,28,22.0,0.4827586206896552,0.0
390,99671249,0,32,1,12,7.0,0.375,0.0
391,187997815,0,62,1,17,33.0,0.27419354838709675,0.0
392,132542917,0,47,2,24,57.0,0.5106382978723404,0.0
393,2808151,0,2,1,2,154.0,1.0,0.0
394,339288621,0,110,1,38,22.0,0.34545454545454546,0.0
395,296443466,0,100,1,22,220.0,0.22,0.0
396,137363352,0,48,1,26,153.0,0.5416666666666666,0.0
397,23328689,0,6,2,3,68.0,0.5,0.0
398,202267500,0,74,1,40,7.0,0.5405405405405406,0.0
399,20950656,0,10,1,3,25.0,0.3,0.0
400,769810541,1,246,1,60,22.0,0.24390243902439024,1.2990209236430811e-09
401,75161784,0,26,1,9,22.0,0.34615384615384615,0.0
402,60064536,0,20,1,13,220.0,0.65,0.0
403,1633228049,0,562,1,149,22.0,0.26512455516014233,0.0
404,185352540,0,58,4,28,220.0,0.4827586206896552,0.0
405,68875925,4,26,1,14,25.0,0.5384615384615384,5.807544508476656e-08
406,124696616,1,38,1,28,25.0,0.7368421052631579,8.019463816083028e-09
407,585748841,0,187,1,51,7.0,0.2727272727272727,0.0
408,185796676,0,65,1,37,8.0,0.5692307692307692,0.0
409,20677824,0,7,1,1,57.0,0.14285714285714285,0.0
410,183748221,0,67,1,21,30.0,0.31343283582089554,0.0
411,315572258,0,105,1,22,22.0,0.20952380952380953,0.0
412,19942722,0,6,1,3,68.0,0.5,0.0
413,525280688,0,184,3,59,22.0,0.32065217391304346,0.0
414,1095453872,1,375,1,33,22.0,0.088,9.128636317422227e-10
415,23428958,0,9,1,5,220.0,0.5555555555555556,0.0
416,181979055,0,55,1,17,220.0,0.3090909090909091,0.0
417,214696755,0,70,1,12,416.0,0.17142857142857143,0.0
418,279498122,0,86,2,26,220.0,0.3023255813953488,0.0
419,702999751,11,221,1,77,220.0,0.34841628959276016,1.5647231715733568e-08
420,67871020,0,20,1,8,57.0,0.4,0.0
421,48873202,0,18,1,17,71.0,0.9444444444444444,0.0
422,111918292,0,35,1,15,2509.0,0.42857142857142855,0.0
423,103844306,0,33,1,18,272.0,0.5454545454545454,0.0
424,129143388,0,41,1,13,22.0,0.3170731707317073,0.0
425,66227872,0,24,1,14,220.0,0.5833333333333334,0.0
426,137645301,0,49,2,15,22.0,0.30612244897959184,0.0
427,28438580,0,11,1,5,22.0,0.45454545454545453,0.0
428,5735621,0,4,1,2,862.0,0.5,0.0
429,106203591,0,32,1,23,22.0,0.71875,0.0
430,63211058,0,23,1,10,58.0,0.43478260869565216,0.0
431,121821248,0,36,1,8,22.0,0.2222222222222222,0.0
432,401664725,0,134,1,46,164.0,0.34328358208955223,0.0
433,55551917,0,24,1,8,762.0,0.3333333333333333,0.0
434,101988919,1,35,1,22,22.0,0.6285714285714286,9.804986755472915e-09
435,755224017,0,256,1,79,22.0,0.30859375,0.0
436,30602647,0,12,1,6,61.0,0.5,0.0
437,168160902,0,58,2,30,22.0,0.5172413793103449,0.0
438,344504532,0,114,1,25,68.0,0.21929824561403508,0.0
439,182478766,0,61,1,34,25.0,0.5573770491803278,0.0
440,221659659,0,76,1,12,696.0,0.15789473684210525,0.0
441,55514272,0,19,1,10,220.0,0.5263157894736842,0.0
442,523480700,0,191,1,11,22.0,0.05759162303664921,0.0
443,89667990,0,31,5,17,22.0,0.5483870967741935,0.0
444,70920781,0,27,1,6,199.0,0.2222222222222222,0.0
445,94347037,0,29,1,14,43.0,0.4827586206896552,0.0
446,520888361,2,174,1,75,22.0,0.43103448275862066,3.839594334878986e-09
447,124006553,0,35,1,0,220.0,0.0,0.0
