item_id,播放量,点赞量,发布城市,背景音乐ID,发布日期,观看人数,点赞播放比
510,684222,0,15.0,639.0,2019-10-27,9,0.0
515,27037,0,33.0,220.0,2019-10-26,93,0.0
521,35043,0,134.0,1067.0,2019-10-26,112,0.0
523,180736,0,39.0,229.0,2019-10-27,20,0.0
525,85188,0,44.0,68.0,2019-10-25,15,0.0
528,10582,0,169.0,7727.0,2019-10-21,81,0.0
529,519643,0,12.0,1888.0,2019-10-07,6,0.0
530,43963,0,1.0,3197.0,2019-10-20,38,0.0
533,78403,0,10.0,6928.0,2019-10-27,70,0.0
534,103384,0,80.0,534.0,2019-10-26,77,0.0
535,684807,0,261.0,110.0,2019-10-14,6,0.0
537,819620,0,151.0,726.0,2019-10-24,5,0.0
539,558284,0,68.0,133.0,2019-10-18,2,0.0
541,152418,0,20.0,468.0,2019-10-12,48,0.0
546,29595,0,29.0,1148.0,2019-10-25,66,0.0
549,5240225,0,49.0,227.0,2019-10-26,1,0.0
552,1641278,0,45.0,704.0,2019-10-25,6,0.0
555,22134,0,14.0,9432.0,2019-10-26,7,0.0
559,1417303,0,75.0,172.0,2019-10-26,1,0.0
562,34274,0,84.0,22.0,2019-10-24,75,0.0
565,36060,0,150.0,472.0,2019-10-27,367,0.0
571,1009429,0,26.0,238.0,2019-09-30,8,0.0
572,554470,0,0.0,6470.0,2019-10-26,4,0.0
575,2264680,0,96.0,25.0,2019-10-27,1,0.0
577,521786,0,32.0,339.0,2019-10-26,2,0.0
580,95120,0,134.0,3230.0,2019-10-22,75,0.0
582,152143,0,118.0,880.0,2019-09-28,13,0.0
588,5632,0,250.0,2219.0,2019-10-06,208,0.0
592,340516,0,93.0,4674.0,2019-10-07,16,0.0
593,34938,0,67.0,14741.0,2019-10-25,35,0.0
595,217632,0,308.0,3283.0,2019-10-15,126,0.0
596,1121509,0,168.0,43.0,2019-10-26,1,0.0
597,17175,0,287.0,1406.0,2019-10-23,198,0.0
599,287160,0,133.0,39.0,2019-10-23,4,0.0
604,2933417,0,73.0,726.0,2019-10-08,1,0.0
606,3029,0,19.0,453.0,2019-10-25,158,0.0
608,26389,0,22.0,746.0,2019-10-07,311,0.0
613,1651038,0,308.0,10826.0,2019-10-18,6,0.0
616,31852,0,84.0,110.0,2019-10-21,47,0.0
618,489211,0,170.0,92.0,2019-10-16,13,0.0
620,879640,0,270.0,220.0,2019-10-27,4,0.0
623,895367,0,23.0,934.0,2019-10-27,3,0.0
624,1329,0,21.0,1085.0,2019-10-13,379,0.0
625,5389,0,144.0,10125.0,2019-10-26,157,0.0
630,71660,0,4.0,359.0,2019-10-24,38,0.0
632,57239,0,20.0,868.0,2019-10-16,25,0.0
636,125139,0,85.0,169.0,2019-10-25,37,0.0
637,5240,0,71.0,5040.0,2019-10-24,9,0.0
639,8599,0,85.0,312.0,2019-10-26,23,0.0
646,951769,0,9.0,33.0,2019-10-26,20,0.0
647,1150919,0,89.0,222.0,2019-10-16,1,0.0
648,4351227,0,0.0,1791.0,2019-10-24,1,0.0
649,1910645,0,13.0,2158.0,2019-10-27,6,0.0
652,933443,0,215.0,6044.0,2019-10-26,2,0.0
653,585582,0,10.0,5243.0,2019-10-26,2,0.0
660,18298,0,35.0,562.0,2019-10-26,7,0.0
665,3925247,0,267.0,238.0,2019-10-26,4,0.0
670,19911,0,277.0,166.0,2019-10-20,572,0.0
677,40371,1,159.0,7.0,2019-10-09,3,2.4770255876743206e-05
681,222860,0,174.0,12.0,2019-10-26,22,0.0
683,5111557,0,169.0,42531.0,2019-10-26,1,0.0
686,1192586,0,32.0,1096.0,2019-10-26,3,0.0
691,364666,0,4.0,4696.0,2019-10-09,5,0.0
696,104121,0,1.0,22.0,2019-10-23,65,0.0
697,2006,0,13.0,622.0,2019-10-26,75,0.0
707,848814,0,202.0,2739.0,2019-10-26,10,0.0
709,628491,0,134.0,2492.0,2019-10-19,6,0.0
711,490960,0,234.0,12554.0,2019-10-26,17,0.0
713,104791,0,345.0,1089.0,2019-10-17,20,0.0
715,823974,0,15.0,16.0,2019-09-30,12,0.0
722,393062,0,31.0,68.0,2019-10-26,13,0.0
728,87012,0,263.0,813.0,2019-10-26,33,0.0
729,57808,0,44.0,23356.0,2019-10-26,391,0.0
739,7437,0,132.0,592.0,2019-10-21,1177,0.0
748,16908,0,108.0,857.0,2019-10-23,480,0.0
752,25816,0,31.0,579.0,2019-10-23,338,0.0
753,1755245,0,13.0,1357.0,2019-10-10,11,0.0
766,17263,0,324.0,33.0,2019-10-18,139,0.0
768,78895,0,24.0,22.0,2019-10-26,42,0.0
769,143405,0,83.0,700.0,2019-10-23,40,0.0
770,108746,0,104.0,22.0,2019-10-25,25,0.0
773,1818,0,7.0,934.0,2019-10-26,523,0.0
774,24464,0,55.0,9896.0,2019-10-27,20,0.0
775,30941,0,4.0,1508.0,2019-10-19,384,0.0
776,27691,0,50.0,74.0,2019-10-21,1159,0.0
778,765530,0,140.0,1452.0,2019-10-27,5,0.0
789,81988,0,104.0,2076.0,2019-10-27,12,0.0
795,1345,0,190.0,578.0,2019-10-27,117,0.0
797,3918883,0,69.0,43842.0,2019-10-01,1,0.0
802,1976,0,39.0,34153.0,2019-10-26,6,0.0
804,75924,0,104.0,416.0,2019-10-21,27,0.0
806,9101,0,79.0,157.0,2019-10-25,595,0.0
808,365069,0,49.0,8593.0,2019-10-26,11,0.0
810,1419130,0,122.0,4417.0,2019-10-02,1,0.0
811,4069209,0,39.0,18193.0,2019-10-26,1,0.0
817,1887652,0,7.0,872.0,2019-10-23,3,0.0
818,740386,0,51.0,9826.0,2019-10-15,5,0.0
822,1599163,0,35.0,19639.0,2019-10-26,1,0.0
824,2195265,0,66.0,249.0,2019-10-18,4,0.0
826,2876226,0,144.0,220.0,2019-10-26,2,0.0
827,62811,0,137.0,22.0,2019-10-26,242,0.0
838,3220506,0,79.0,708.0,2019-09-29,1,0.0
849,17398,0,35.0,59.0,2019-10-11,585,0.0
852,152081,0,212.0,8131.0,2019-10-27,13,0.0
855,82502,0,33.0,866.0,2019-10-24,40,0.0
857,64357,0,11.0,431.0,2019-10-27,29,0.0
858,44450,0,85.0,275.0,2019-10-26,122,0.0
859,91306,0,22.0,7.0,2019-10-27,101,0.0
878,802000,0,286.0,1532.0,2019-10-26,6,0.0
880,151393,0,182.0,1249.0,2019-10-19,21,0.0
883,26956,0,41.0,82.0,2019-10-03,10,0.0
887,396543,0,261.0,86.0,2019-10-09,3,0.0
889,286553,0,19.0,7866.0,2019-10-16,20,0.0
891,345090,0,157.0,220.0,2019-10-26,19,0.0
893,193685,0,28.0,803.0,2019-10-16,26,0.0
898,817287,0,14.0,3030.0,2019-10-12,1,0.0
900,913,0,169.0,464.0,2019-10-23,1443,0.0
901,14860,0,45.0,416.0,2019-10-23,244,0.0
908,114932,0,38.0,2640.0,2019-10-26,114,0.0
909,757760,0,169.0,3815.0,2019-10-26,8,0.0
912,509849,0,54.0,3243.0,2019-10-03,16,0.0
915,5276571,0,178.0,8951.0,2019-10-22,1,0.0
916,445275,0,106.0,35935.0,2019-10-27,11,0.0
919,770705,0,85.0,110.0,2019-10-15,16,0.0
925,1338226,0,24.0,6810.0,2019-10-26,2,0.0
926,2315106,0,117.0,298.0,2019-10-27,1,0.0
928,23443,0,208.0,4545.0,2019-10-14,62,0.0
944,1256872,0,23.0,1219.0,2019-10-25,7,0.0
946,827890,0,312.0,272.0,2019-10-27,5,0.0
952,30089,0,297.0,133.0,2019-10-26,202,0.0
954,396161,0,251.0,8.0,2019-10-27,6,0.0
955,453767,0,8.0,4306.0,2019-10-01,5,0.0
956,21004,0,67.0,220.0,2019-10-24,134,0.0
959,839363,0,188.0,23452.0,2019-10-26,6,0.0
961,953518,0,45.0,44746.0,2019-10-09,3,0.0
962,389824,0,208.0,2440.0,2019-09-29,11,0.0
963,47145,0,169.0,726.0,2019-10-24,28,0.0
964,1452,0,65.0,1521.0,2019-10-24,501,0.0
965,2438668,0,204.0,4530.0,2019-10-20,1,0.0
968,314384,0,29.0,11215.0,2019-10-17,18,0.0
969,2912407,0,11.0,4769.0,2019-10-09,1,0.0
971,980732,0,71.0,4058.0,2019-10-16,1,0.0
972,101431,0,27.0,1267.0,2019-10-08,85,0.0
979,26918,0,13.0,1957.0,2019-10-25,103,0.0
986,9437,0,11.0,1462.0,2019-10-18,107,0.0
988,4129780,0,162.0,68.0,2019-10-26,2,0.0
997,174728,0,128.0,3312.0,2019-10-21,38,0.0
999,169846,0,113.0,220.0,2019-10-27,35,0.0
1000,13170,0,13.0,2420.0,2019-10-08,663,0.0
1001,7529,0,69.0,416.0,2019-10-26,446,0.0
1002,566805,0,121.0,22.0,2019-10-27,16,0.0
1003,38927,0,134.0,8227.0,2019-10-26,26,0.0
1004,5845,0,78.0,3229.0,2019-10-27,203,0.0
1006,95089,0,5.0,56.0,2019-10-10,16,0.0
1007,981102,0,42.0,222.0,2019-10-26,1,0.0
1015,56623,0,144.0,10639.0,2019-10-13,65,0.0
1016,1170483,0,55.0,13067.0,2019-10-26,7,0.0
1017,241420,0,293.0,1760.0,2019-10-27,14,0.0
1018,313996,0,22.0,1748.0,2019-10-26,77,0.0
1022,361413,0,10.0,2714.0,2019-10-27,31,0.0
1024,1027298,0,51.0,110.0,2019-10-18,3,0.0
1025,61273,0,85.0,1085.0,2019-10-20,67,0.0
1026,134263,0,333.0,307.0,2019-10-26,44,0.0
1031,139389,0,41.0,33.0,2019-10-26,12,0.0
1033,7070,0,74.0,1348.0,2019-10-20,161,0.0
1036,84756,0,163.0,68.0,2019-10-26,90,0.0
1037,46480,0,186.0,506.0,2019-10-27,20,0.0
1038,1668550,0,324.0,21943.0,2019-10-03,2,0.0
1041,479796,0,20.0,220.0,2019-10-27,7,0.0
1043,242005,0,232.0,10613.0,2019-10-26,4,0.0
1044,2174744,0,259.0,2796.0,2019-10-26,2,0.0
1065,4242542,0,39.0,246.0,2019-09-30,1,0.0
1067,1693495,0,103.0,220.0,2019-10-26,5,0.0
1068,2514349,0,85.0,674.0,2019-10-26,1,0.0
1073,834702,0,42.0,416.0,2019-10-26,8,0.0
1075,83778,0,149.0,31599.0,2019-10-25,81,0.0
1081,34942,0,267.0,22.0,2019-10-26,256,0.0
1087,36967,0,42.0,19394.0,2019-10-26,7,0.0
1089,57449,0,0.0,965.0,2019-10-26,146,0.0
1093,9689,0,252.0,4238.0,2019-10-23,152,0.0
1094,958844,0,11.0,22.0,2019-10-26,7,0.0
1095,74442,0,72.0,8505.0,2019-10-26,17,0.0
1096,195195,0,174.0,11728.0,2019-10-27,38,0.0
1100,467,0,6.0,3949.0,2019-10-13,163,0.0
1101,2570445,0,301.0,8187.0,2019-10-26,2,0.0
1113,396896,0,79.0,23890.0,2019-10-20,3,0.0
1117,32751,0,54.0,11877.0,2019-10-27,115,0.0
1118,1697058,0,127.0,1661.0,2019-10-22,1,0.0
1122,1102092,0,18.0,110.0,2019-10-26,4,0.0
1124,128398,0,234.0,68.0,2019-10-25,18,0.0
1125,62488,0,10.0,3316.0,2019-10-02,3,0.0
1129,14338,0,135.0,622.0,2019-10-19,162,0.0
1132,337816,0,41.0,8626.0,2019-10-22,44,0.0
1134,798520,0,135.0,2582.0,2019-10-26,4,0.0
1135,5723046,0,363.0,110.0,2019-10-24,1,0.0
1137,88048,0,22.0,2994.0,2019-10-26,28,0.0
1141,101532,0,78.0,222.0,2019-10-26,26,0.0
1142,809046,0,10.0,38992.0,2019-10-27,6,0.0
1143,361601,0,154.0,4725.0,2019-09-30,47,0.0
1144,3165699,0,33.0,1778.0,2019-10-27,1,0.0
1148,2335,0,25.0,1954.0,2019-10-27,425,0.0
1150,693294,0,7.0,68.0,2019-10-26,12,0.0
1154,70032,0,163.0,2260.0,2019-10-15,86,0.0
1162,308777,0,33.0,43.0,2019-10-26,26,0.0
1163,134651,0,63.0,574.0,2019-10-26,49,0.0
1168,389871,0,297.0,13250.0,2019-10-26,56,0.0
1173,37530,0,137.0,220.0,2019-10-23,184,0.0
1177,3614471,0,270.0,2203.0,2019-10-26,5,0.0
1178,501684,0,39.0,3062.0,2019-10-26,3,0.0
1183,167385,0,21.0,2227.0,2019-10-22,75,0.0
1188,75636,0,25.0,325.0,2019-10-26,26,0.0
1190,46262,0,105.0,1731.0,2019-10-27,151,0.0
1195,994195,0,135.0,82.0,2019-10-09,4,0.0
1196,379,0,243.0,726.0,2019-10-26,509,0.0
1198,198686,0,138.0,645.0,2019-10-24,44,0.0
1199,1040607,0,158.0,3238.0,2019-10-27,1,0.0
1202,4522564,0,206.0,3184.0,2019-10-27,1,0.0
1208,189801,0,200.0,646.0,2019-10-02,41,0.0
1212,16049,0,44.0,10544.0,2019-10-26,302,0.0
1213,2725455,0,3.0,57.0,2019-10-22,1,0.0
1215,7288,0,20.0,320.0,2019-10-17,769,0.0
1219,1158417,0,18.0,272.0,2019-10-26,1,0.0
1224,403749,0,4.0,2893.0,2019-10-26,32,0.0
1227,399865,0,288.0,3310.0,2019-10-26,12,0.0
1239,842366,0,0.0,805.0,2019-10-26,6,0.0
1241,50547,0,20.0,1306.0,2019-10-22,231,0.0
1246,133027,0,133.0,1872.0,2019-10-21,53,0.0
1252,2790996,0,113.0,222.0,2019-10-27,3,0.0
1253,5485956,0,42.0,868.0,2019-10-15,1,0.0
1254,2417813,0,4.0,3173.0,2019-10-26,1,0.0
1258,106857,0,107.0,1159.0,2019-10-02,33,0.0
1265,18226,0,80.0,34.0,2019-10-24,67,0.0
1268,2315847,0,27.0,52.0,2019-10-07,2,0.0
1271,63975,0,1.0,1942.0,2019-10-07,16,0.0
1272,23992,0,79.0,1102.0,2019-09-29,5,0.0
1274,77393,0,208.0,22.0,2019-10-23,66,0.0
1275,125869,0,204.0,1263.0,2019-10-26,50,0.0
1276,28461,0,165.0,22.0,2019-10-27,44,0.0
1278,1360327,0,68.0,1265.0,2019-10-25,2,0.0
1279,57923,0,126.0,2618.0,2019-10-26,44,0.0
1282,23240,0,159.0,110.0,2019-10-26,211,0.0
1296,26026,0,193.0,1772.0,2019-10-09,17,0.0
1299,134064,0,22.0,422.0,2019-10-10,31,0.0
1302,2905,0,32.0,696.0,2019-10-26,249,0.0
1304,184764,0,59.0,416.0,2019-10-26,107,0.0
1313,305612,0,133.0,105.0,2019-10-21,22,0.0
1318,16628,0,252.0,5645.0,2019-10-26,44,0.0
1323,4064,0,74.0,31546.0,2019-10-27,225,0.0
1325,1669156,0,134.0,468.0,2019-10-26,2,0.0
1328,21874,0,68.0,27026.0,2019-10-27,173,0.0
1336,1550581,0,86.0,37334.0,2019-10-26,8,0.0
1339,13570,0,97.0,12698.0,2019-10-26,600,0.0
1344,4666168,1,170.0,51652.0,2019-10-26,1,2.1430861469196995e-07
1345,207315,0,258.0,32599.0,2019-10-27,43,0.0
1346,313781,0,0.0,9793.0,2019-10-24,6,0.0
1352,74017,0,20.0,284.0,2019-10-17,2,0.0
1354,184887,0,78.0,1589.0,2019-10-26,12,0.0
1363,2387020,0,32.0,834.0,2019-09-29,2,0.0
1364,4291938,0,140.0,22.0,2019-10-12,1,0.0
1365,124740,0,31.0,242.0,2019-10-17,18,0.0
1368,573882,0,293.0,4122.0,2019-10-03,11,0.0
1373,438120,0,177.0,8969.0,2019-10-10,19,0.0
1377,591350,0,65.0,4177.0,2019-09-30,19,0.0
1384,397,0,6.0,2411.0,2019-10-22,25,0.0
1386,503149,0,227.0,422.0,2019-10-23,16,0.0
1389,5375644,0,22.0,2467.0,2019-10-26,1,0.0
1391,24543,0,42.0,740.0,2019-10-26,178,0.0
1393,981180,0,33.0,1578.0,2019-10-26,5,0.0
1395,198297,0,14.0,23283.0,2019-10-26,90,0.0
1403,521906,0,106.0,416.0,2019-10-27,5,0.0
1408,381686,0,32.0,7052.0,2019-10-18,20,0.0
1413,756829,0,71.0,30.0,2019-10-25,1,0.0
1420,67357,0,66.0,5055.0,2019-10-25,93,0.0
1421,73238,0,64.0,6369.0,2019-10-16,159,0.0
1422,1575613,0,4.0,10246.0,2019-09-29,3,0.0
1425,2954597,0,18.0,220.0,2019-10-26,2,0.0
1427,518599,0,60.0,552.0,2019-10-16,45,0.0
1429,225221,0,252.0,21387.0,2019-10-23,40,0.0
1431,50855,0,78.0,7278.0,2019-10-26,107,0.0
1436,350900,0,4.0,31855.0,2019-10-25,26,0.0
1437,4623471,0,20.0,1153.0,2019-10-02,1,0.0
1441,367956,0,39.0,220.0,2019-10-26,63,0.0
1442,99644,0,213.0,298.0,2019-10-27,93,0.0
1446,1448675,0,26.0,68.0,2019-10-23,2,0.0
1449,504672,0,106.0,14552.0,2019-10-27,18,0.0
1450,717362,0,49.0,14219.0,2019-10-10,11,0.0
1454,5097908,0,33.0,3560.0,2019-10-27,1,0.0
1460,3426110,0,85.0,33.0,2019-10-06,1,0.0
1465,545152,0,138.0,4201.0,2019-10-26,6,0.0
1469,219,0,35.0,7.0,2019-10-05,58,0.0
1473,47734,0,189.0,240.0,2019-10-24,160,0.0
1480,7129,0,117.0,6984.0,2019-10-17,205,0.0
1486,26310,0,4.0,294.0,2019-10-16,376,0.0
1491,215420,0,128.0,404.0,2019-10-18,15,0.0
1493,1909546,0,6.0,9485.0,2019-10-26,3,0.0
1496,31906,0,32.0,832.0,2019-10-24,64,0.0
1502,5011047,0,33.0,5730.0,2019-10-19,2,0.0
1507,450007,0,104.0,22.0,2019-10-25,14,0.0
1519,1135,0,181.0,30.0,2019-10-23,1127,0.0
1520,90719,0,165.0,31450.0,2019-10-26,311,0.0
1521,12759,0,105.0,40300.0,2019-10-26,9,0.0
1522,231851,0,84.0,2163.0,2019-10-21,28,0.0
1523,3158272,0,86.0,1502.0,2019-10-04,1,0.0
1529,4050,0,55.0,68.0,2019-10-27,306,0.0
1531,2863702,0,226.0,7939.0,2019-10-26,1,0.0
1534,28260,0,69.0,2261.0,2019-10-14,227,0.0
1544,372581,0,33.0,3394.0,2019-10-26,8,0.0
1549,3725,0,18.0,6928.0,2019-10-26,224,0.0
1550,565139,0,4.0,30.0,2019-10-27,29,0.0
1552,3537325,0,122.0,2576.0,2019-10-02,3,0.0
1557,15482,0,29.0,576.0,2019-10-26,224,0.0
1565,24027,0,90.0,255.0,2019-10-21,1136,0.0
1566,3670,0,59.0,7.0,2019-10-27,254,0.0
1567,53891,0,151.0,12144.0,2019-10-24,17,0.0
1576,242474,0,0.0,974.0,2019-10-25,12,0.0
1585,1938210,0,65.0,8.0,2019-10-26,2,0.0
1587,1693,0,69.0,31453.0,2019-10-26,70,0.0
1591,51404,0,42.0,58.0,2019-10-20,32,0.0
1595,281358,0,121.0,4065.0,2019-10-19,56,0.0
1599,4307720,0,6.0,4441.0,2019-10-08,1,0.0
1602,522410,0,28.0,1.0,2019-10-23,43,0.0
1603,10830,0,38.0,272.0,2019-10-07,141,0.0
1610,17433,1,89.0,579.0,2019-10-22,361,5.736247346985602e-05
1618,1029409,0,45.0,2537.0,2019-10-26,12,0.0
1620,171617,0,22.0,88.0,2019-10-26,9,0.0
1624,6333,0,79.0,3822.0,2019-10-26,154,0.0
1627,667637,0,201.0,22.0,2019-10-26,37,0.0
1630,17093,0,27.0,4170.0,2019-10-25,28,0.0
1633,427483,0,7.0,52.0,2019-10-27,12,0.0
1636,4133484,0,80.0,9413.0,2019-10-27,2,0.0
1645,831842,0,42.0,2750.0,2019-10-07,2,0.0
1648,3970112,0,279.0,22.0,2019-10-26,1,0.0
1653,151886,0,7.0,307.0,2019-10-17,14,0.0
1662,66994,0,135.0,12922.0,2019-10-16,10,0.0
